index,method,seed,energy,energy_diverse,cost,diversity,n_modes,round,k
314,mf_random,2,5.466939,5.466939163208008,8087.0,0.03281326325166291,10,16,10
315,mf_random,2,5.466939,5.466939163208008,8595.5,0.03281326325166291,10,17,10
316,mf_random,2,5.466939,5.466939163208008,9130.5,0.03281326325166291,10,18,10
317,mf_random,2,5.4546866,5.454686880111694,9602.0,0.03901320033505863,10,19,10
318,mf_random,2,5.3006654,5.300665473937988,10091.0,0.048315909748679546,10,20,10
319,mf_random,2,5.218549,5.218549108505249,10594.5,0.04492396257159729,10,21,10
320,mf_random,2,5.218549,5.218549108505249,11067.5,0.04492396257159729,10,22,10
321,mf_random,2,5.218549,5.218549108505249,11606.5,0.04492396257159729,10,23,10
322,mf_random,2,5.0841,5.084099864959716,12090.5,0.036963809217289915,10,24,10
323,mf_random,2,4.9928336,4.992833757400513,12588.5,0.03925431346268138,10,25,10
324,mf_random,2,4.75292,4.752920317649841,13052.5,0.04810142455636462,10,26,10
325,mf_random,2,4.6491117,4.64911162853241,13575.0,0.05049679461299558,10,27,10
326,mf_random,2,4.6491117,4.64911162853241,14058.5,0.05049679461299558,10,28,10
327,mf_random,2,4.6491117,4.64911162853241,14515.5,0.05049679461299558,10,29,10
328,mf_random,2,4.4308157,4.43081567287445,14975.0,0.048076999046699785,10,30,10
329,mf_random,2,4.3937445,4.3937448263168335,15448.0,0.0489647130531183,10,31,10
330,mf_random,2,4.3937445,4.3937448263168335,15910.0,0.0489647130531183,10,32,10
331,mf_random,2,4.3937445,4.3937448263168335,16395.5,0.0489647130531183,10,33,10
332,mf_random,2,4.3937445,4.3937448263168335,16853.0,0.0489647130531183,10,34,10
333,mf_random,2,4.3184333,4.318433547019959,17313.5,0.06150096792274433,10,35,10
334,mf_random,2,4.276805,4.276804995536804,17785.0,0.06536201346722735,10,36,10
335,mf_random,2,4.276805,4.276804995536804,18319.0,0.06536201346722735,10,37,10
336,mf_random,2,3.8450112,3.84501134455204,18793.0,0.06952194381573616,10,38,10
337,mf_random,2,3.8450112,3.84501134455204,19301.0,0.06952194381573616,10,39,10
338,mf_random,2,3.7828803,3.782880797982216,19772.5,0.06433237905309669,10,40,10
339,mf_random,2,3.7828803,3.782880797982216,20262.0,0.06433237905309669,10,41,10
340,mf_random,2,3.7505803,3.7505803257226944,20736.5,0.06424067524846236,10,42,10
341,mf_random,2,8.203014,8.221660480499267,507.5,0.03465207930307151,47,0,50
342,mf_random,2,7.5847044,7.5947416973114015,996.0,0.03949972853071117,47,1,50
343,mf_random,2,7.4052734,7.410066862106323,1432.0,0.04034582101383782,49,2,50
344,mf_random,2,7.1292934,7.1292923736572265,1908.0,0.040047392245692676,50,3,50
345,mf_random,2,6.9701447,6.9837555503845214,2352.5,0.039545143920914974,49,4,50
346,mf_random,2,6.8749194,6.886958856582641,2843.5,0.038421895099049946,49,5,50
347,mf_random,2,6.7744246,6.785709505081177,3288.0,0.03789503443614987,49,6,50
348,mf_random,2,6.7549076,6.764412288665771,3724.0,0.03716048078787639,49,7,50
349,mf_random,2,6.639464,6.6479138660430905,4213.5,0.03852411206242442,49,8,50
350,mf_random,2,6.634035,6.642267274856567,4667.0,0.03899136758203528,49,9,50
351,mf_random,2,6.5554,6.5599831867218015,5157.0,0.03737902231446206,49,10,50
352,mf_random,2,6.51379,6.517849941253662,5669.0,0.038941621263072365,49,11,50
353,mf_random,2,6.4461,6.448692026138306,6138.5,0.036934480429175666,49,12,50
354,mf_random,2,6.355222,6.360857191085816,6599.5,0.04282081296043148,47,13,50
355,mf_random,2,6.3546095,6.358765630722046,7072.5,0.04363878329626166,47,14,50
356,mf_random,2,6.304628,6.306693048477173,7560.5,0.043552204534411484,47,15,50
357,mf_random,2,6.3013873,6.303111515045166,8087.0,0.04510926063604868,47,16,50
358,mf_random,2,6.274977,6.274977016448974,8595.5,0.04153749482050151,50,17,50
359,mf_random,2,6.269738,6.269737701416016,9130.5,0.04118185167571124,50,18,50
360,mf_random,2,6.220877,6.220877637863159,9602.0,0.043258929611718656,50,19,50
361,mf_random,2,6.1733894,6.173389139175415,10091.0,0.044496891211168066,50,20,50
