samples,energies
[C][C][=C][C][=C][Branch1][C][C][C][=C][Ring1][#Branch1];0,-1.9808
[C][C][N][Branch1][Ring1][C][C][C][=C][C][=C][Branch1][N][N][C][Branch1][C][C][=C][C][=C][Ring1][=Branch1][C][C][=C][Ring1][=N];0,-1.4379
[C][C][=C][C][=C][Branch1][Ring2][O][Ring1][Branch1][C][Branch1][C][C][=C][C][C][=C][C][=Branch1][C][=O][O][C][=Ring1][#Branch1][Ring1][=N];0,0.3766
[C][C][O][C][=Branch1][C][=O][C][=C][N][Branch1][=Branch2][C][=C][C][=C][C][=C][Ring1][=Branch1][C][=C][C][Ring1][N][C][=C][C][=C][C][=C][Ring1][=Branch1];0,0.0226
[C][C][C][C][=C][C][=N][C][Ring1][Branch1][=C][C][=C][NH1][C][Branch1][Branch2][C][=C][Ring1][Branch1][C][C][C][=C][N][=C][Branch2][Ring1][Ring1][C][Branch1][C][O][=C][C][NH1][C][Ring2][Ring1][=Branch1][=C][C][=Ring1][Branch1][C][C][C][C][Branch1][Ring2][C][C][C][=C][Ring2][Ring1][Ring1];0,2.1782
[C][=C][C][=C][C][=C][C][Branch1][Ring1][O][C][=C][Ring1][Branch2];0,-0.971
[C][=C][C][Branch1][Branch2][N][C][C][C][C][Ring1][Branch1][=C][C][=N][Ring1][O];0,-1.909
[O][=C][N][C][=Branch1][C][=O][C][=C][C][Branch2][Ring1][C][C][C][Branch1][Branch2][C][=C][N][=C][NH1][Ring1][Branch1][=C][S][C][=Ring1][#Branch2][Cl][=C][C][=C][Branch1][=N][C][=C][C][Ring2][Ring1][Branch2][=C][Ring2][Ring1][Branch1][Ring1][=Branch1][C][=Branch1][C][=O][N][C][Ring1][O][=O];0,2.884
[C][C][=C][Branch2][Ring1][#Branch1][C][=C][Branch1][Ring1][C][#N][C][Branch1][Ring1][C][#N][=C][C][Branch1][Ring1][C][#N][=C][Ring1][N][C][#N][C][=C][N][Ring2][Ring1][Ring1][C][=C][N][=C][S][C][=N][C][=C][C][=C][Ring1][=Branch1][C][Ring1][=Branch2][=C][Ring1][=N];0,2.5275
[O][=C][O][C][C][=C][Ring1][Branch1][C][Branch1][=Branch2][C][=C][C][=C][C][=C][Ring1][=Branch1][C][=C][C][=C][Branch1][O][C][=C][Ring1][=Branch1][N][Ring1][S][C][C][O][C][C][C][Ring1][O];0,0.0658
[C][O][C][=C][C][=C][C][Branch1][Branch2][C][C][=Branch1][C][=O][N][N][=C][O][C][Ring1][#Branch2][=C][Ring1][=C];0,-0.5017
[N][#C][C][=C][C][Branch1][Ring1][C][#N][=C][Branch1][Ring1][C][#N][C][Branch2][Ring2][=Branch2][N][C][=C][C][=C][Ring1][Branch1][C][=N][C][=C][C][=C][C][=C][Ring1][=Branch1][N][=C][Ring1][#Branch2][C][=C][N][=C][O][C][=N][C][=C][C][=C][Ring1][=Branch1][C][Ring1][=Branch2][=C][Ring1][=N][=C][Ring2][Ring2][=Branch1][C][#N];0,2.8411
[C][C][N][Branch1][Ring1][C][C][C][=C][C][=C][Branch2][Ring1][=Branch1][C][=C][C][=N][C][=N][C][=C][C][=C][C][=C][Ring1][=Branch1][N][=C][Ring1][#Branch2][S][Ring1][=N][C][Branch1][Ring1][O][C][=C][Ring2][Ring1][#Branch1];0,1.4506
[N][#C][C][=C][Branch1][Ring1][C][#N][C][Branch1][Ring1][C][#N][=C][Branch2][Ring1][P][C][C][=C][Branch1][P][C][C][C][=C][C][=C][C][=C][C][=C][Ring1][=Branch1][C][Ring1][=Branch2][=O][C][=N][S][N][=C][Ring1][Branch1][C][=Ring2][Ring1][Branch1][C][Branch1][Ring1][C][#N][=C][Ring2][Ring1][P][C][#N];0,2.9483
[N][#C][C][=C][C][Branch1][Ring1][C][#N][=C][Branch2][Ring2][Ring2][C][Branch1][=C][C][=C][C][=C][S][C][=N][C][Ring1][Branch1][=C][Ring1][=Branch2][C][=C][C][=C][NH1][C][=C][C][=N][C][=C][Ring1][=Branch1][C][Ring1][=Branch2][=C][Ring1][=N][C][Branch1][Ring1][C][#N][=C][Ring2][Ring1][P];0,1.7081
[O][=C][N][C][=Branch1][C][=O][C][=C][C][=C][Branch1][=C][N][N][=C][C][=C][C][=C][C][Ring1][=Branch1][=N][Ring1][=Branch2][C][=C][Branch2][Ring1][Ring1][C][=C][C][=C][Branch1][=Branch2][C][=C][C][=C][N][=C][Ring1][=Branch1][C][=C][Ring1][N][C][=C][C][Ring2][Ring2][C][=C][Ring2][Ring1][#C][Ring2][Ring1][C];0,2.318
[C][O][C][=C][C][=C][C][=C][C][Branch1][C][C][=C][C][=C][C][=C][C][=C][Ring1][=Branch1][N][Branch1][C][C][C][Ring1][#Branch2][=C][Ring2][Ring1][Ring1][Ring1][#C];0,-0.0323
[C][C][=C][C][=C][Branch1][C][O][C][=C][Ring1][#Branch1];0,-1.9375
[O][=C][C][=Branch2][Ring2][=Branch1][=C][C][=C][N][=C][Branch2][Ring1][=Branch2][C][=C][N][=C][Branch1][#C][C][=C][C][=C][C][=C][C][=C][C][Ring1][=Branch1][=N][Ring1][#Branch2][C][=N][Ring1][S][C][=N][Ring2][Ring1][=Branch1][C][=Branch1][C][=O][C][=C][C][=C][C][=C][Ring1][=Branch1][Ring2][Ring1][P];0,2.4061
[N][#C][C][=C][Branch1][C][F][C][Branch1][C][F][=C][Branch1][Ring1][C][#N][C][O][C][=C][C][O][C][=C][Branch1][Ring1][C][#N][C][Branch1][C][F][=C][Branch1][C][F][C][Branch1][Ring1][C][#N][=C][Ring1][N][O][C][=Ring1][S][C][=C][Ring2][Ring1][Ring2][O][C][Ring2][Ring1][S][=Ring2][Ring1][Branch2];0,2.9261
[O][=C][C][=C][C][=C][C][=Branch1][Ring2][=C][Ring1][=Branch1][C][=C][C][=N][C][=C][Ring1][=Branch1][N][Ring1][#Branch2][C][=N][C][=C][C][=C][C][=C][Ring1][=Branch1][N][=C][Ring1][#Branch2][C][=C][C][=C][C][=C][C][=C][Ring1][=Branch1][C][=C][C][=C][C][=C][Ring1][=C][Ring1][=Branch1];0,1.8486
[N][#C][C][=C][C][Branch1][Ring1][C][#N][=C][Branch2][Ring2][=Branch2][C][=C][Branch2][Ring1][Branch1][O][C][=Branch1][C][=O][C][=C][C][=C][Branch1][=Branch1][C][=Branch1][C][=O][O][C][=C][Ring1][=Branch2][C][=Branch1][C][=O][C][=C][C][=C][C][=C][Ring1][=Branch1][Ring2][Ring1][=Branch1][C][Branch1][Ring1][C][#N][=C][Ring2][Ring1][S][Br];0,2.8405
[O][=C][C][=C][C][Branch1][C][Cl][=C][C][=C][Ring1][#Branch1][S][=Branch1][C][=O][=Branch1][C][=O][C][=C][C][=C][Branch2][Ring1][=N][C][=C][O][C][Branch2][Ring1][Ring1][C][=N][C][=C][C][N][=C][O][C][=Ring1][Branch1][C][=C][Ring1][=Branch2][O][Ring1][N][=C][Ring1][P][C][=C][Ring2][Ring1][#Branch1][Ring2][Ring2][C];0,2.3254
[C][=C][N][=C][C][Branch2][Ring2][#Branch1][C][=C][C][Branch2][Ring1][N][N][C][=C][C][=C][C][O][C][Branch1][Branch2][C][C][=C][O][C][=Ring1][Branch1][=C][C][=Ring1][#Branch2][C][=C][Ring1][=C][Ring1][P][=C][NH1][Ring2][Ring1][=Branch1][=C][N][=C][C][Ring2][Ring1][N][=N][Ring2][Ring1][S];0,1.6985
[C][C][C][C][N][C][=C][C][=C][C][=C][Ring1][=Branch1][C][=C][C][=C][C][=C][C][Branch1][=N][C][=C][C][=C][Branch1][Ring1][O][C][C][=C][Ring1][Branch2][=C][C][=C][Ring1][=C][N][Branch1][Branch1][C][C][C][C][C][Ring2][Ring1][Branch1][=C][Ring2][Ring1][=Branch2][Ring2][Ring1][S];0,-0.0191
[N][#C][C][=C][Branch1][Ring1][C][#N][C][Branch1][Ring1][C][#N][=C][Branch2][Ring1][=Branch2][C][=C][C][=C][Branch1][#C][C][=C][C][=C][C][=N][C][=C][N][=C][Ring1][#Branch2][Ring1][=Branch1][N][Ring1][#C][F][C][Branch1][Ring1][C][#N][=C][Ring2][Ring1][N][C][#N];0,2.9643
[C][=C][C][=C][C][=C][C][=C][C][=C][C][Ring1][=Branch1][=C][C][Ring1][#Branch2][=C][Ring1][=C];0,0.5852
[C][=C][C][=C][C][=C][C][Branch1][Ring1][O][C][=C][Ring1][Branch2];0,-0.9585
[C][C][Branch1][C][C][Branch1][C][C][C][=C][C][=C][Branch2][Ring2][Ring2][C][=N][N][=C][Branch2][Ring1][=Branch2][C][=C][C][=C][C][=C][C][=C][C][=C][C][=C][C][=C][Ring1][=C][C][Ring1][N][=C][Ring1][#Branch2][Ring1][=Branch1][O][Ring2][Ring1][Branch1][C][=C][Ring2][Ring1][O];0,1.3914
[O][=S][=Branch1][C][=O][C][=C][Branch1][O][C][=C][C][=C][C][=C][Ring1][=Branch1][Ring1][#Branch2][C][Branch1][O][C][=C][C][=C][C][=C][Ring1][=Branch1][Ring1][#C][C][=C][C][=C][C][=C][Ring1][=Branch1][C][S][C][=C][C][=C][C][=C][Ring1][=Branch1][C][=Ring1][=Branch2][Ring2][Ring1][=Branch1];0,1.3971
[C][N][Branch1][C][C][C][=C][C][=C][Branch1][O][C][#C][C][=C][C][=C][C][=C][Ring1][=Branch1][C][=C][Ring1][=C];0,-0.7723
[N][#C][C][=C][Branch1][Ring1][C][#N][C][Branch1][Ring1][C][#N][=C][Branch2][Ring1][P][C][=C][Branch2][Ring1][Ring2][C][=C][C][=C][Branch1][#Branch2][N][C][=C][C][=C][C][=C][Ring1][=Branch1][C][=C][Ring1][=N][C][=N][C][=N][C][=N][Ring1][=Branch1][C][Branch1][Ring1][C][#N][=C][Ring2][Ring1][P][C][#N];0,2.8811
[C][=N][C][=C][C][=C][C][=C][C][=C][C][=Branch1][=Branch1][=C][Ring1][#Branch2][Ring1][=Branch1][N][Ring1][=N];0,-0.5159
[C][=C][Branch2][Ring1][#C][C][=N][C][=C][C][=C][Branch1][#C][C][=C][N][=C][C][=N][N][=C][C][Ring1][=Branch1][=C][Ring1][#Branch2][C][=C][Ring1][S][NH1][Ring2][Ring1][Ring1][C][=C][Branch1][Ring1][C][#N][C][Branch1][Ring1][C][#N][=C][C][Branch1][Ring1][C][#N][=C][Ring1][N][C][#N];0,2.8614
[N][C][=C][C][=C][C][=C][C][=C][C][=C][Ring1][#Branch2][Ring1][=Branch1];0,-0.5719
[C][C][C][C][C][C][N][C][=Branch1][C][=O][C][=C][C][=C][C][=C][Branch1][O][C][=C][C][=C][Branch1][C][C][S][Ring1][=Branch1][C][=C][C][=Branch1][=Branch1][=C][Ring1][S][Ring1][N][C][Ring2][Ring1][Ring2][=O];0,1.5547
[O][=C][Branch1][=Branch2][O][C][C][=C][O][C][=Ring1][Branch1][C][=C][C][=C][Branch2][Ring2][Branch1][C][=Branch1][C][=O][O][C][=C][C][=C][C][=C][C][Branch1][#C][C][=C][N][=C][C][=C][C][=C][C][Ring1][=Branch1][=N][Ring1][#Branch2][=N][C][Ring1][S][=N][Ring2][Ring1][Ring2][C][=C][Ring2][Ring1][=N];0,2.3008
[C][=C][C][Branch1][Branch2][N][C][C][C][C][Ring1][Branch1][=C][C][=N][Ring1][O];0,-1.909
[C][C][=C][C][=C][C][Branch1][Branch2][C][C][=Branch1][C][=O][N][N][=C][O][C][Ring1][#Branch2][=C][Ring1][=C];0,-0.4553
[C][=C][C][Branch1][Branch2][N][C][C][C][C][Ring1][Branch1][=C][C][=N][Ring1][O];0,-1.909
[N][#C][C][=C][Branch1][C][F][C][Branch1][C][F][=C][Branch1][Ring1][C][#N][C][O][C][=C][C][O][C][=C][Branch1][Ring1][C][#N][C][Branch1][C][F][=C][Branch1][C][F][C][Branch1][Ring1][C][#N][=C][Ring1][N][O][C][=Ring1][S][C][=C][Ring2][Ring1][Ring2][O][C][Ring2][Ring1][S][=Ring2][Ring1][Branch2];0,2.9261
[C][C][Branch1][C][C][C][C][C][C][N][C][C][C][=C][Ring1][Branch1][C][=C][C][=C][C][=Branch1][Branch2][=C][C][=C][Ring1][#Branch2][Ring1][=Branch1][C][C][C][C][Ring1][=Branch2][=O];0,0.482
[C][C][Branch1][C][C][Branch1][C][C][C][N][C][=C][C][=C][C][=C][Ring1][=Branch1][C][=Branch1][C][=O][N][Ring1][O][C][=C][C][=C][C][=C][Ring1][=Branch1];0,-0.0808
[C][=C][N][=C][C][Branch2][Branch1][Ring1][C][=N][C][=N][C][NH1][C][=N][C][=Ring1][Branch1][N][=C][Ring1][=Branch2][N][Ring1][N][C][=C][C][O][C][C][=C][Branch1][=N][C][=N][C][S][C][=N][C][=Ring1][Branch1][S][Ring1][Branch2][S][C][=Ring1][=N][C][=Ring1][S][S][Ring2][Ring1][Ring1][=C][Ring2][Ring2][Branch1];0,2.2564
[C][=C][C][C][C][=C][C][=C][C][Branch2][Ring1][Branch1][C][=C][C][=Branch1][O][=C][C][=N][S][N][=C][Ring1][=Branch2][Ring1][Branch1][N][=S][=N][Ring1][O][=C][C][=C][C][Ring2][Ring1][C][=N][Ring2][Ring1][=Branch1];0,2.4952
[C][N][Branch1][C][C][C][=C][C][=C][C][=C][Ring1][=Branch1];0,-2.2302
[C][=C][C][Branch1][Branch2][N][C][C][C][C][Ring1][Branch1][=C][C][=N][Ring1][O];0,-1.909
[C][=C][C][Branch1][Branch2][N][C][C][C][C][Ring1][Branch1][=C][C][=N][Ring1][O];0,-1.909
[C][N][Branch1][C][C][C][=C][C][=C][C][=C][Branch1][=Branch2][C][=C][C][Ring1][=Branch1][=C][Ring1][#Branch2][C][=Branch1][C][=O][C][C][C][Ring1][O];0,0.269
