samples,energies
[C][N][Branch1][C][C][C][=C][C][=C][Branch2][Ring1][P][C][=N][C][Branch1][S][C][=C][C][=C][Branch1][=Branch1][N][Branch1][C][C][C][C][=C][Ring1][=Branch2][=C][C][=C][C][=C][C][Ring1][=Branch1][=N][Ring2][Ring1][Ring1][C][=C][Ring2][Ring1][=Branch2];0,6.0806
[O][=C][C][=C][NH1][C][=Branch1][C][=O][NH1][Ring1][#Branch1];0,9.7209
[N][C][=C][C][=C][C][Branch1][=Branch2][C][Branch1][C][F][Branch1][C][F][F][=C][C][=Branch1][C][=O][O][C][Ring1][O][=C][Ring1][#C];0,8.8053
[N][#C][C][=C][C][Branch2][Ring1][Branch1][C][#C][C][=C][Branch1][C][F][C][Branch1][C][F][=N][C][Branch1][C][F][=C][Ring1][=Branch2][F][=C][Branch2][Ring1][Branch1][C][#C][C][=C][Branch1][C][F][C][Branch1][C][F][=N][C][Branch1][C][F][=C][Ring1][=Branch2][F][C][=C][Ring2][Ring1][=C][C][#N];0,9.2038
[N][C][=C][C][=C][C][=C][Ring1][=Branch1][C][=Branch1][C][=O][O];0,8.3498
[C][C][=C][NH1][C][=Branch1][C][=O][NH1][C][Ring1][#Branch1][=O];0,9.129
[O][=C][C][=C][C][=C][Branch1][=Branch2][C][=C][C][=C][C][=C][Ring1][=Branch1][O][C][Branch1][=Branch2][C][=C][C][=C][C][=C][Ring1][=Branch1][=C][Ring1][P][C][=C][Branch1][Ring1][C][=O][C][Ring2][Ring1][Branch2];0,7.5284
[C][C][C][C][N][C][=C][C][=C][Branch1][=Branch2][C][=C][C][=C][C][=C][Ring1][=Branch1][C][=C][Ring1][N][C][=C][C][=C][C][=C][C][Branch1][=Branch2][C][=C][C][=C][C][=C][Ring1][=Branch1][=C][C][=C][Ring1][N][N][Branch1][Branch1][C][C][C][C][C][Ring2][Ring1][Ring1][=C][Ring2][Ring1][#Branch1][Ring2][Ring2][Ring2];0,6.1052
[N][C][=C][C][=C][C][=N][C][Branch2][Ring2][N][C][=C][N][=C][C][=Branch1][Ring2][=C][Ring1][=Branch1][C][=C][C][=C][C][=C][Ring1][=Branch1][N][Ring1][#Branch2][C][=C][C][=C][C][=Branch1][Ring2][=C][Ring1][=Branch1][O][C][=C][C][=C][C][=C][Ring1][=Branch1][N][Ring1][O][=C][N][=C][Ring2][Ring2][Branch1][Ring2][Ring1][P];0,6.107
[C][O][C][=Branch1][C][=O][C][=N][C][Branch1][C][Cl][=C][Branch1][=Branch2][C][=C][C][=C][C][=C][Ring1][=Branch1][O][Ring1][N];0,8.4822
[C][C][=C][N][Branch1][=Branch2][C][Branch1][C][F][Branch1][C][F][F][C][=Branch1][C][=O][NH1][C][Ring1][O][=O];0,9.8381
[C][O][C][=C][C][=C][Branch2][Ring1][Ring2][C][#C][C][=C][C][=C][Branch1][Branch2][C][N][=N][NH1][N][=Ring1][Branch1][C][=C][Ring1][O][C][=C][Ring2][Ring1][Ring1][O][C];0,7.1338
[N][#C][C][=C][NH1][C][=C][C][=C][C][=C][Ring1][=Branch2][Ring1][=Branch1];0,8.271
[N][#C][C][=C][C][=C][Branch1][C][N][C][=N][O][N][=C][Ring1][#Branch2][Ring1][Branch1];0,8.8095
[C][C][Branch1][C][C][Branch1][C][C][C][N][C][=C][C][=C][C][=C][Ring1][=Branch1][C][=Branch1][C][=O][N][Ring1][O][C][C][=C][C][=C][C][=C][Ring1][=Branch1];0,7.2602
[O][=C][Branch1][C][O][C][=C][C][=C][C][=C][Ring1][=Branch1];0,9.3416
[C][C][=C][N][Branch1][=Branch2][C][Branch1][C][F][Branch1][C][F][F][C][=Branch1][C][=O][NH1][C][Ring1][O][=O];0,9.8381
[O][=C][C][=C][C][=C][Branch1][Branch2][C][=C][C][=C][S][Ring1][Branch1][S][Ring1][#Branch2];0,8.1324
[O][=C][C][=C][C][=C][C][=C][Ring1][=Branch1][NH1][C][=C][C][=C][C][=C][Ring1][=C][Ring1][=Branch1];0,7.7123
[O][C][=C][C][=C][Branch1][S][N][C][=C][C][=C][C][=C][C][=C][C][Ring1][=Branch1][=N][Ring1][#Branch2][C][=C][Ring1][P];0,7.0726
[O][=C][C][=C][NH1][C][=Branch1][C][=O][NH1][Ring1][#Branch1];0,9.7209
[N][#C][C][=C][C][=C][C][C][=C][NH1][C][Ring1][=Branch2][=Ring1][Branch1];0,8.2757
[C][=C][C][=C][C][=Branch1][Ring2][=C][Ring1][=Branch1][C][=C][N][Ring1][=Branch1][C][=C][C][Branch2][Ring2][=Branch1][C][=C][S][C][=C][C][=C][Branch2][Ring1][Ring2][N][C][=C][C][=C][C][=C][Ring1][=Branch1][C][=N][C][=C][C][=C][Ring1][=Branch1][Ring1][=N][C][=C][Ring2][Ring1][=Branch1][Ring2][Ring1][Ring1][=C][NH1][Ring2][Ring1][O];0,6.4174
[O][=C][C][=C][C][=C][C][=C][Ring1][=Branch1][C][=C][C][=C][Branch1][S][N][C][=N][C][Branch1][C][Cl][=N][C][Branch1][C][Cl][=N][Ring1][Branch2][C][=C][C][=C][C][Ring2][Ring1][=Branch2][=C][Ring2][Ring1][Ring1][Ring1][=Branch1];0,7.5983
[O][=C][O][C][=Branch1][C][=O][C][=C][C][=C][Branch2][Ring1][#Branch2][N][Branch1][=Branch2][C][=C][C][=C][C][=C][Ring1][=Branch1][C][=C][C][=C][C][=C][C][=C][C][Ring1][=Branch1][=C][Ring1][#Branch2][C][=C][C][=C][C][Ring2][Ring1][=C][=C][Ring2][Ring1][O][Ring1][=Branch1];0,7.1244
[C][C][=C][C][=Branch1][C][=O][NH1][C][=Branch1][C][=O][NH1][Ring1][Branch2];0,9.3421
